symbol,alert_type,direction,price,entry,stop,target_1,target_2,confidence,message,time
NVDA,auto_stop_out,SELL,181.96,182.69,181.96,,,high,"STOP OUT — ema_bounce_100 entry at $182.69 failed, stop $181.96 hit (-$0.73/share). Exit immediately.",19:44:07
NVDA,stop_loss_hit,SELL,181.96,,,,,,Stop loss hit at $181.96 (-$0.73/share from entry $182.69),19:42:07
SPY,ma_resistance,SELL,678.95,,,,,,"MA100 RESISTANCE — rejected at $680.93, closed below at $678.95 — recently broken, acting as resistance",19:38:09
NVDA,ema_bounce_100,BUY,182.73,182.69,181.96,183.64,184.55,medium,"EMA bounce 100 — price pulled back to $182.69 and closed above at $182.73 (counter-trend) (last_30) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: last_30 | T1: hourly resistance $183.64, T2: hourly resistance $184.06 | normal volume | gap down (-0.6%) | Defending 100EMA | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | SPY at 100MA support | 15m trend aligned",19:38:07
LRCX,pdh_rejection,SELL,211,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $211.24, closed $211.00 — approaching from below, acting as resistance",19:38:06
LRCX,resistance_prior_high,NOTICE,211,,,,,medium,"At prior day high $211.24 — resistance zone, watch for rejection",19:38:06
NVDA,ema_resistance,SELL,182.44,,,,,,"EMA100 RESISTANCE — rejected at $182.69, closed $182.22 — recently broken, acting as resistance",19:34:07
NVDA,pdh_rejection,SELL,182.44,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $182.76, closed $182.22 — approaching from below, acting as resistance",19:34:07
NVDA,resistance_prior_high,NOTICE,182.44,,,,,medium,"At prior day high $182.76 — resistance zone, watch for rejection",19:34:07
META,hourly_resistance_approach,SELL,645.15,,,,,,APPROACHING HOURLY RESISTANCE at $646.90 — tighten stop or take profits,19:32:39
SPY,ema_bounce_100,BUY,677.08,676.62,675.27,680.93,684.31,medium,"EMA bounce 100 — price pulled back to $676.62 and closed above at $677.08 (counter-trend) (last_30) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: last_30 | T1: MA100 $680.93, T2: hourly resistance $682.61 | normal volume | gap down (-0.9%) | Defending 100EMA | CAUTION: volume climax — potential reversal | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:32:08
BTC-USD,hourly_resistance_approach,SELL,69347.02,,,,,,APPROACHING HOURLY RESISTANCE at $69453.50 — tighten stop or take profits,19:30:07
SPY,prior_day_high_breakout,BUY,676.465,676.11,674.76,680.93,684.31,medium,"Prior day high breakout — closed above $676.11 (vol 1.8x avg) (power_hour) | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: MA100 $680.93, T2: hourly resistance $682.61 | high volume | gap down (-0.9%) | Overhead 100EMA | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:28:08
BTC-USD,intraday_support_bounce,BUY,68964.93,68746.42,68572.63,69453.5,70264.61,high,"Intraday support bounce at $68746.42 (tested 3x, strong) (us) | T1: hourly resistance $69453.50, T2: hourly resistance $70264.61 | normal volume | gap up (+1.9%) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",19:26:07
SPY,ema_resistance,SELL,675.35,,,,,,"EMA100 RESISTANCE — rejected at $676.62, closed $674.89 — recently broken, acting as resistance",19:22:09
NVDA,target_1_hit,SELL,180.91,,,,,,"T1 hit at $180.91 (entry $179.64) — sell half, move stop to breakeven",19:22:07
SPY,hourly_resistance_approach,SELL,674.57,,,,,,APPROACHING HOURLY RESISTANCE at $676.11 — tighten stop or take profits,19:20:38
SPY,pdh_rejection,SELL,674.57,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $676.11, closed $674.57 — approaching from below, acting as resistance",19:20:38
SPY,resistance_prior_high,NOTICE,674.57,,,,,,At prior day high $676.11 — consider taking profits,19:20:38
NVDA,hourly_resistance_approach,SELL,180.72,,,,,,APPROACHING HOURLY RESISTANCE at $180.91 — tighten stop or take profits,19:20:07
GOOGL,target_1_hit,SELL,303.65,,,,,,"T1 hit at $303.65 (entry $302.03) — sell half, move stop to breakeven",19:20:06
GOOGL,ma_resistance,SELL,304.06,,,,,,"MA100 RESISTANCE — rejected at $304.31, closed below at $304.06 — recently broken, acting as resistance",19:20:06
GOOGL,hourly_resistance_approach,SELL,303,,,,,,APPROACHING HOURLY RESISTANCE at $303.65 — tighten stop or take profits,19:18:06
LRCX,auto_stop_out,SELL,204.57,205.19,204.57,,,high,"STOP OUT — macd_histogram_flip entry at $205.19 failed, stop $204.57 hit (-$0.62/share). Exit immediately.",19:14:07
LRCX,stop_loss_hit,SELL,204.57,,,,,,Stop loss hit at $204.57 (-$0.62/share from entry $205.19),19:14:06
LRCX,hourly_resistance_approach,SELL,205.465,,,,,,APPROACHING HOURLY RESISTANCE at $205.88 — tighten stop or take profits,19:14:06
LRCX,macd_histogram_flip,BUY,205.19,205.19,204.57,206.22,211.24,medium,"MACD histogram flip — momentum turning bullish (hist -0.0014 → 0.0265) (power_hour) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $205.88, T2: prior high $211.24 | normal volume | gap down (-2.2%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:12:06
NVDA,fib_retracement_bounce,BUY,179.3879,179.09,178.56,180.91,182.49,medium,"Fibonacci 61.8% retracement bounce — low $179.39 touched fib $179.09, bounced to $179.39 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $180.91, T2: hourly resistance $182.49 | normal volume | gap down (-0.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
GOOGL,intraday_support_bounce,BUY,302.31,302.03,301.59,303.65,305.16,medium,"Intraday support bounce at $302.03 (tested 1x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $303.65, T2: MA100 $304.31 | low volume (caution) | gap down (-1.4%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
SPY,weekly_level_touch,BUY,670.12,669.66,668.58,673.01,676.36,medium,"Weekly level touch — price at prior week low $669.66, T1=$688.62 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $672.25, T2: prior close $672.38 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
META,auto_stop_out,SELL,635.24,636.18,635.24,,,high,"STOP OUT — intraday_support_bounce entry at $636.18 failed, stop $635.24 hit (-$0.94/share). Exit immediately.",18:58:06
NVDA,intraday_support_bounce,BUY,179.883,179.64,179.12,180.91,182.49,medium,"Intraday support bounce at $179.64 (tested 1x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $180.91, T2: hourly resistance $182.49 | low volume (caution) | gap down (-0.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+1 confirming: Fib Retracement Bounce]",18:54:46
SPY,planned_level_touch,BUY,670.9401,669.76,668.67,673.11,676.46,medium,"Planned level touch (normal) — price at entry $669.76, entry=$669.76, T1=$676.11 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $672.25, T2: prior close $672.38 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+1 confirming: Weekly Level Touch]",18:54:46
META,target_1_hit,SELL,636.25,,,,,,"T1 hit at $636.25 (entry $633.08) — sell half, move stop to breakeven",18:44:06
